name,id,Term 1,Term 2,Term 3
Juan Daniels,126748459,Group E,Group F,Group E
Juan Trombetta,819486881,Group A (Gr. 12),Group F,Group D
Juana Orick,502428781,Group B,Group B,Group C
Juanita Carr,300219796,Group B,Group A (Gr. 12),Group B
Juanita Franklin,703340806,Group D,Group E,Group C
Juanita King,303967688,Group B,Group D,Group B
Juanita Ramos,550118393,Group D,Group A (Gr. 12),Group E
Juanita Stevens,159497924,Group F,Group B,Group C
Judith Camel,639372107,Group B,Group E,Group A (Gr. 12)
Judith Miller,936506984,Group A (Gr. 12),Group C,Group A (Gr. 12)
Judith Williams,170223878,Group F,Group F,Group B
Judy Guinn,520914528,Group B,Group C,Group E
Judy Richardson,571897968,Group D,Group D,Group A (Gr. 12)
Judy Smith,793330210,Group A (Gr. 12),Group A (Gr. 12),Group E
Judy Williams,889020705,Group F,Group B,Group A (Gr. 12)
Julia Davis,646701254,Group C,Group D,Group A (Gr. 12)
Julia Stoddard,280781022,Group A (Gr. 12),Group A (Gr. 12),Group D
Julianna Smalley,763737835,Group D,Group F,Group E
Julie Coles,563842519,Group E,Group E,Group D
Julie Whitrock,352249574,Group F,Group C,Group C
Julio Given,686630000,Group F,Group F,Group B
Justin Dohse,214907602,Group E,Group B,Group C
Justin Grubbs,668660498,Group E,Group E,Group A (Gr. 12)
Justin Hashimoto,210555632,Group B,Group B,Group F
Justin Hubbell,402928498,Group E,Group A (Gr. 12),Group C
Justin Neal,627526143,Group D,Group A (Gr. 12),Group C
Justin Nowden,850505395,Group D,Group A (Gr. 12),Group D
Justin Salazar,297839324,Group F,Group F,Group E
Justin Townsend,767555758,Group E,Group C,Group D
Justin Weaver,961918567,Group C,Group D,Group E
Justin Webb,818876364,Group B,Group E,Group F
Justin Willson,526105957,Group D,Group C,Group D
Kara Martinez,683266645,Group F,Group E,Group A (Gr. 12)
Kara Rosenbeck,884189824,Group F,Group F,Group F
Karen Beck,992701739,Group E,Group B,Group B
Karen Clines,871335337,Group C,Group B,Group B
Karen Clossin,455816026,Group D,Group F,Group A (Gr. 12)
Karen Crumley,873749129,Group F,Group C,Group E
Karen Herrera,496490635,Group F,Group F,Group C
Karen Layne,501322800,Group E,Group B,Group E
Karen Rothman,597956385,Group A (Gr. 12),Group B,Group D
Karen Sargent,115974468,Group F,Group E,Group A (Gr. 12)
Karina Mccoy,274540999,Group E,Group B,Group D
Karl Stark,168895296,Group D,Group C,Group F
Katherine Hawley,690098132,Group E,Group D,Group D
Katherine Miller,699203275,Group B,Group C,Group A (Gr. 12)
Katherine Pacheco,441372718,Group D,Group A (Gr. 12),Group F
Katherine Parenti,265872405,Group F,Group F,Group D
Kathleen Wagner,931338466,Group D,Group E,Group A (Gr. 12)
Kathlene Landon,576040437,Group E,Group D,Group E
Kathrine Lantz,981480790,Group B,Group F,Group D
Kathryn Hicks,583240910,Group D,Group D,Group F
Kathryn Houston,687746220,Group F,Group F,Group D
Kathy Barr,750774772,Group B,Group E,Group A (Gr. 12)
Kathy Frey,985272224,Group B,Group C,Group C
Kathy Grady,754684835,Group D,Group C,Group E
Kathy Prothro,376060834,Group C,Group C,Group C
Kathy Reed,667693706,Group D,Group C,Group D
Katie Gilbert,747436167,Group A (Gr. 12),Group F,Group E
Katrina Hall,387072744,Group F,Group D,Group E
Kay Hyett,163303420,Group C,Group F,Group E
Keisha Oshea,771335567,Group A (Gr. 12),Group A (Gr. 12),Group D
Keith Addison,350366727,Group F,Group E,Group F
Keith Haley,784436143,Group D,Group A (Gr. 12),Group A (Gr. 12)
Keith Moses,941084956,Group E,Group D,Group A (Gr. 12)
Keith Paredes,599827060,Group D,Group D,Group E
Kelli Barrett,949239646,Group E,Group F,Group F
Kelli Rendon,368484653,Group C,Group B,Group D
Kelly Lowman,743483022,Group B,Group D,Group C
Kelly Mayer,975514403,Group C,Group A (Gr. 12),Group C
Kelly Sanzo,147538489,Group D,Group B,Group A (Gr. 12)
Kelvin Bottone,963105165,Group F,Group C,Group B
Kendall Hill,983874127,Group F,Group D,Group C
Kendra Chance,267885940,Group E,Group D,Group A (Gr. 12)
Kenneth Courtright,813948618,Group E,Group C,Group C
Kenneth Navarro,661575004,Group A (Gr. 12),Group D,Group C
Kenneth Neff,719707391,Group F,Group A (Gr. 12),Group D
Kenneth Scholer,355356316,Group F,Group E,Group E
Kenneth Sheets,601474084,Group A (Gr. 12),Group A (Gr. 12),Group B
Kenneth Spell,449973306,Group F,Group B,Group A (Gr. 12)
Kenneth Valez,603459273,Group D,Group F,Group C
Keri Williams,128029939,Group D,Group C,Group A (Gr. 12)
Kerry Mercer,616386728,Group D,Group C,Group E
Kerry Moore,192627702,Group C,Group C,Group F
Kevin Bayard,853917471,Group F,Group F,Group A (Gr. 12)
Kevin Giraldo,759001441,Group C,Group E,Group C
Kevin Lopeman,694930912,Group A (Gr. 12),Group F,Group A (Gr. 12)
Kevin Montgomery,970973175,Group D,Group E,Group E
Kevin Newberry,579803234,Group F,Group D,Group E
Kevin Travis,230308862,Group E,Group B,Group C
Kevin Wooley,128998260,Group A (Gr. 12),Group A (Gr. 12),Group B
Kim Hammond,545056785,Group B,Group E,Group D
Kim Mcqueen,809972618,Group B,Group A (Gr. 12),Group C
Kim Otsuka,956526122,Group A (Gr. 12),Group B,Group B
Kimberly Adams,932830236,Group F,Group A (Gr. 12),Group C
Kimberly Chatfield,566537372,Group F,Group B,Group E
Kimberly Hernandez,720613377,Group F,Group D,Group F
Kimberly Maroun,911663775,Group E,Group F,Group F
Kimberly Pickle,277915550,Group A (Gr. 12),Group C,Group D
Kimberly Sibley,243632746,Group C,Group D,Group D
Kimberly Smith,271860001,Group D,Group B,Group C
Kimberly Thomas,486877433,Group C,Group D,Group A (Gr. 12)
Kimberly Whitham,469233433,Group A (Gr. 12),Group E,Group B
Kirsten Feasel,950398546,Group D,Group F,Group A (Gr. 12)
Kristen May,832224373,Group C,Group C,Group E
Kristi Hernandez,554690536,Group E,Group A (Gr. 12),Group B
Kristin Rodriguez,507331113,Group C,Group D,Group B
Kristine Robinson,599197403,Group F,Group E,Group A (Gr. 12)
Kristle Owens,776703455,Group E,Group C,Group C
Kristy Pattison,204177115,Group A (Gr. 12),Group B,Group C
Krystal Godina,756463133,Group E,Group D,Group C
Kurt Venturelli,802676103,Group F,Group B,Group B
Kyle Laud,341400690,Group D,Group F,Group F
Lakisha Helt,783236113,Group E,Group A (Gr. 12),Group C
Lamont Hatch,737095811,Group C,Group D,Group E
Lana Morado,568004296,Group E,Group D,Group E
Lance Savoy,856160739,Group F,Group E,Group A (Gr. 12)
Larry Hamilton,524667685,Group B,Group D,Group C
Larry Harris,267493025,Group D,Group D,Group E
Larry Henry,585062111,Group A (Gr. 12),Group C,Group A (Gr. 12)
Larry Reedy,545185801,Group C,Group A (Gr. 12),Group F
Larry Stephens,217527136,Group F,Group C,Group B
Larry Tyler,985192431,Group A (Gr. 12),Group E,Group C
Larry Williams,378992652,Group F,Group D,Group B
Larry Zulauf,778865162,Group B,Group D,Group A (Gr. 12)
Lasandra Szymczak,365143775,Group C,Group A (Gr. 12),Group C
Lashanda Jones,800825565,Group D,Group B,Group F
Lashawn Hallack,663583477,Group C,Group B,Group E
Lashell Willet,837222973,Group D,Group E,Group C
Latesha Hane,887787905,Group A (Gr. 12),Group D,Group C
Laura Chase,665458337,Group F,Group A (Gr. 12),Group E
Laura Elliott,863180928,Group C,Group C,Group D
Laura Garrido,962145375,Group C,Group F,Group B
Laura Gomez,190093940,Group F,Group F,Group A (Gr. 12)
Laura Price,883341658,Group C,Group E,Group D
Laura Romero,416947146,Group C,Group A (Gr. 12),Group F
Laura Waller,488509931,Group F,Group C,Group A (Gr. 12)
Lauren French,134354264,Group C,Group D,Group B
Laurence Hudgens,848514653,Group C,Group B,Group B
Laurie Hernandez,186010923,Group C,Group F,Group B
Laurie Tucker,773470593,Group F,Group F,Group C
Laurinda Vanhuss,983337174,Group E,Group C,Group F
Laverne Monroe,107980392,Group C,Group D,Group E
Lawrence Bowser,890049685,Group B,Group B,Group E
Lawrence Eichhorn,117513642,Group E,Group E,Group A (Gr. 12)
Lawrence Garcia,432515379,Group A (Gr. 12),Group D,Group B
Lawrence Ralph,654512218,Group A (Gr. 12),Group D,Group F
Lea Bozeman,727647704,Group F,Group D,Group D
Lee Titsworth,847649927,Group F,Group A (Gr. 12),Group C
Leeann Perez,140240416,Group A (Gr. 12),Group B,Group A (Gr. 12)
Leland Niesman,467892431,Group A (Gr. 12),Group D,Group B
Leon Chatman,753183053,Group B,Group F,Group F
Leon Harris,626888929,Group E,Group C,Group F
Leon Pirog,435988209,Group F,Group D,Group B
Leonard Gaston,661474792,Group A (Gr. 12),Group A (Gr. 12),Group E
Leonard Roher,244130254,Group F,Group E,Group F
Leslie Beltran,202846627,Group A (Gr. 12),Group D,Group A (Gr. 12)
Lester Baucum,812545737,Group C,Group D,Group A (Gr. 12)
Lester Ross,270640165,Group D,Group F,Group C
Lewis Bartlett,914184910,Group A (Gr. 12),Group E,Group E
Lilia Villatora,640719388,Group B,Group C,Group C
Lilian Rideau,267540714,Group C,Group C,Group C
Liliana Coop,686734928,Group A (Gr. 12),Group E,Group A (Gr. 12)
Lillian Manske,612127483,Group C,Group E,Group D
Lillian Manuel,394257731,Group B,Group D,Group C
Lillie Mcroy,971021486,Group E,Group C,Group E
Lincoln Noble,885894808,Group D,Group E,Group B
Linda Baird,629406829,Group E,Group E,Group D
Linda Beckman,609564620,Group D,Group B,Group C
Linda Blay,405944147,Group B,Group E,Group E
Linda Bradley,160091190,Group C,Group F,Group C
Linda Bryant,980514243,Group A (Gr. 12),Group F,Group C
Linda Cedillo,830733805,Group C,Group E,Group B
Linda Gresham,179962501,Group A (Gr. 12),Group C,Group C
Linda Haskin,958088208,Group E,Group C,Group C
Linda Malizia,896779755,Group F,Group C,Group B
Linda Rogers,687284583,Group F,Group E,Group F
Linda Rosa,240415871,Group B,Group C,Group D
Linda Rzeczycki,229988130,Group F,Group C,Group D
Linda Schwend,525739766,Group E,Group C,Group A (Gr. 12)
Linda Tetterton,966857982,Group F,Group A (Gr. 12),Group F
Linda Williamson,549807829,Group A (Gr. 12),Group A (Gr. 12),Group D
Linda Wyss,730897461,Group D,Group D,Group D
Lindsay Allen,746195386,Group E,Group F,Group D
Lisa Drake,442330929,Group B,Group E,Group A (Gr. 12)
Lisa Knowles,940635744,Group B,Group B,Group F
Lisa Nork,753196576,Group A (Gr. 12),Group B,Group D
Lisa Pruitt,438953365,Group F,Group B,Group E
Lisa Stewart,331898006,Group A (Gr. 12),Group F,Group A (Gr. 12)
Liza Saenz,736408580,Group E,Group B,Group B
Lizabeth Hillard,495089600,Group A (Gr. 12),Group C,Group B
Loan Robinson,768766168,Group C,Group B,Group A (Gr. 12)
Lois Gonzalez,983334634,Group F,Group B,Group F
Lois Hatton,886334615,Group C,Group C,Group B
Lois Lloyd,842755958,Group A (Gr. 12),Group A (Gr. 12),Group E
Lois Talbert,798020289,Group F,Group F,Group F
Lola Smith,272324388,Group C,Group D,Group F
Lola Trowbridge,891547404,Group E,Group B,Group C
Lonnie Knight,419399583,Group B,Group A (Gr. 12),Group F
Lorena Jones,961401349,Group C,Group E,Group B
Loretta Drayton,567740821,Group B,Group C,Group B
Loretta Lucero,659036603,Group E,Group C,Group A (Gr. 12)
Lori Boisen,262074623,Group B,Group D,Group B
Lori Mack,794524140,Group F,Group C,Group C
Lorie Martin,855007302,Group F,Group E,Group E
Lorraine Carter,445444198,Group E,Group F,Group B
Lorraine Jenkins,764961990,Group A (Gr. 12),Group F,Group B
Lorri Montgomery,342855177,Group D,Group C,Group A (Gr. 12)
Lorriane Brodes,713975853,Group F,Group A (Gr. 12),Group B
Louis Coleman,823819340,Group C,Group D,Group F
Louis Jones,107833420,Group E,Group C,Group C
Louis Nissen,634551715,Group A (Gr. 12),Group F,Group B
Louis Strauss,295062886,Group A (Gr. 12),Group A (Gr. 12),Group E
Louise Webb,997175149,Group B,Group C,Group C
Luanne Blair,978056547,Group D,Group B,Group B
Lucille Lucena,910318409,Group F,Group D,Group F
Lucille Robinson,266325521,Group F,Group A (Gr. 12),Group E
Lucy Paredez,553504855,Group B,Group D,Group D
Lucy Sepulveda,429955487,Group D,Group D,Group D
Luigi Shifflett,103596220,Group A (Gr. 12),Group C,Group F
Luis Kelley,484159958,Group F,Group D,Group D
Lula Orgill,916397272,Group B,Group F,Group D
Luz Manning,676784798,Group F,Group F,Group F
Luz Mugrage,395108722,Group A (Gr. 12),Group E,Group A (Gr. 12)
Lyle Calogero,685300019,Group D,Group F,Group B
Lyn Roehl,901666749,Group D,Group A (Gr. 12),Group E
Lynda Coria,448820357,Group D,Group B,Group A (Gr. 12)
Lynette Hoes,835922825,Group F,Group E,Group D
Lynn Broker,922626082,Group E,Group D,Group E
Lynn Guptill,342110650,Group C,Group A (Gr. 12),Group B
Lynn Painter,556003830,Group E,Group F,Group E
Lynn Rushing,428876859,Group E,Group A (Gr. 12),Group F
Lynne Sprague,245387058,Group B,Group F,Group C
Mable Ashcraft,241940105,Group B,Group E,Group F
Mable Chauez,359010283,Group A (Gr. 12),Group B,Group D
Machelle Mederos,912595236,Group D,Group C,Group A (Gr. 12)
Madeline Dunn,140881114,Group A (Gr. 12),Group A (Gr. 12),Group A (Gr. 12)
Madeline White,721252859,Group A (Gr. 12),Group C,Group D
Maggie Williams,160151332,Group F,Group F,Group B
Mai Watkins,132007800,Group E,Group E,Group A (Gr. 12)
Mamie Moore,471353695,Group B,Group B,Group B
Mammie Terry,815634761,Group F,Group C,Group D
Manuel Morrison,826481285,Group B,Group E,Group B
Marc Farmer,626146277,Group E,Group B,Group A (Gr. 12)
Marc Terrell,690546274,Group A (Gr. 12),Group D,Group C
Marcela Rice,471471495,Group B,Group B,Group E
Marcella Hyatt,154837737,Group C,Group B,Group E
Marcus Hannahs,934397191,Group C,Group E,Group D
Marcus Tigerino,413173401,Group C,Group D,Group F
Margaret Ballard,419847471,Group B,Group F,Group A (Gr. 12)
Margaret Borja,253486890,Group D,Group F,Group B
Margaret Calvert,145850248,Group D,Group D,Group B
Margaret Coakley,182740519,Group A (Gr. 12),Group F,Group B
Margaret Dement,168334495,Group C,Group E,Group F
Margaret Dubie,586542107,Group F,Group D,Group B
Margaret Lilly,607033202,Group F,Group D,Group B
Margaret London,649428927,Group A (Gr. 12),Group A (Gr. 12),Group B
Margaret Martin,578969256,Group E,Group C,Group E
Margaret Olmstead,636502661,Group A (Gr. 12),Group F,Group A (Gr. 12)
Margaret Pouncil,427659629,Group B,Group E,Group F
Margaret Shearer,164337616,Group C,Group F,Group C
Margaret Swonke,364675879,Group F,Group C,Group B
Margie Geiger,940498555,Group F,Group E,Group E
Margie Pagan,401078764,Group E,Group E,Group F
Margie Patel,757412286,Group B,Group D,Group E
Margie Perry,367797947,Group B,Group D,Group D
Margo Walburn,954898717,Group D,Group E,Group B
Maria Bishop,693786368,Group C,Group D,Group F
Maria Burks,517474264,Group F,Group D,Group F
Maria Grimaldo,870233189,Group F,Group E,Group F
Maria Hasas,700558331,Group E,Group F,Group B
Maria Mccallum,421411648,Group B,Group D,Group C
Maria Merrifield,940166630,Group A (Gr. 12),Group A (Gr. 12),Group B
Maria Pete,382291180,Group A (Gr. 12),Group A (Gr. 12),Group B
Maria Schnell,203758529,Group E,Group C,Group E
Maria Tomson,841520658,Group C,Group F,Group A (Gr. 12)
Marian Denault,474144406,Group E,Group E,Group D
Marianne Ball,566005773,Group C,Group A (Gr. 12),Group A (Gr. 12)
Marianne Overshown,607029985,Group E,Group C,Group C
Maribel Taylor,672818105,Group F,Group E,Group A (Gr. 12)
Marie Gordon,771318883,Group E,Group F,Group C
Marie Hunter,191010449,Group D,Group F,Group E
Marie Marroquin,218784542,Group C,Group F,Group E
Marie Miller,400244954,Group D,Group F,Group B
Marie Salazar,397558661,Group A (Gr. 12),Group A (Gr. 12),Group B
Marie Snyder,290701596,Group D,Group A (Gr. 12),Group C
Marilyn Faulkner,979795384,Group C,Group F,Group C
Marilyn Lingelbach,929342883,Group A (Gr. 12),Group A (Gr. 12),Group F
Marilyn Zamora,707944401,Group B,Group A (Gr. 12),Group E
Mario Figueiredo,257461497,Group E,Group C,Group E
Mario Norman,910674194,Group F,Group C,Group D
Mario Porter,227406569,Group F,Group F,Group B
Marion Himes,803111493,Group E,Group B,Group B
Marion Jones,589512121,Group D,Group A (Gr. 12),Group F
Maritza Thornton,734330766,Group B,Group D,Group D
Marjorie Muscarella,757697940,Group D,Group A (Gr. 12),Group E
Marjorie Wilson,346709973,Group A (Gr. 12),Group D,Group D
Mark Bowman,321164790,Group E,Group D,Group E
Mark Guerra,858696028,Group B,Group C,Group B
Mark Hart,825080282,Group E,Group A (Gr. 12),Group D
Mark Hedin,700811122,Group B,Group A (Gr. 12),Group B
Mark Jones,342298687,Group D,Group B,Group D
Mark Knudsen,443640718,Group D,Group C,Group F
Mark Marquez,116940041,Group D,Group B,Group F
Mark Purvis,223919328,Group B,Group A (Gr. 12),Group D
Mark Shu,694408984,Group D,Group B,Group C
Mark Washington,485747888,Group E,Group F,Group F
Mark Wiford,583742978,Group B,Group E,Group F
Marleen Prickett,605276517,Group A (Gr. 12),Group D,Group E
Marlene Alger,889144059,Group A (Gr. 12),Group C,Group A (Gr. 12)
Martha Hunter,127084508,Group F,Group A (Gr. 12),Group B
Martha Toure,709931950,Group E,Group C,Group F
Martin Middleton,300066811,Group E,Group F,Group D
Martin Rice,145714870,Group B,Group C,Group C
Martin Schweitzer,209835601,Group B,Group E,Group C
Martin White,518403206,Group F,Group B,Group F
Marty Robinson,732797694,Group D,Group A (Gr. 12),Group E
Marvin Cooper,535573674,Group C,Group F,Group B
Marvin Jones,778218079,Group A (Gr. 12),Group A (Gr. 12),Group D
Marvin Sinclair,441255842,Group C,Group C,Group B
Mary Bica,383807241,Group B,Group F,Group F
Mary Brown,830932415,Group C,Group F,Group B
Mary Buehler,884886842,Group C,Group E,Group B
Mary Bush,526722690,Group D,Group D,Group B
Mary Butler,247940797,Group B,Group D,Group C
Mary Corbisiero,150476944,Group D,Group F,Group E
Mary Dory,836128594,Group B,Group E,Group B
Mary Emond,754219017,Group B,Group A (Gr. 12),Group E
Mary Fawver,617069317,Group D,Group D,Group D
Mary Flaim,717131830,Group E,Group F,Group D
Mary Garmon,618933527,Group F,Group D,Group F
Mary Grant,409207361,Group E,Group D,Group B
Mary Harper,915604590,Group B,Group C,Group B
Mary Haygood,966466847,Group C,Group E,Group B
Mary Leathers,964206204,Group B,Group E,Group E
Mary Lord,291296283,Group C,Group C,Group C
Mary Mirabella,941897735,Group C,Group E,Group E
Mary Nehlsen,714184017,Group C,Group A (Gr. 12),Group F
Mary Nelson,895223431,Group D,Group F,Group C
Mary Rudolph,627122981,Group E,Group F,Group A (Gr. 12)
Mary Sahara,477122510,Group A (Gr. 12),Group B,Group A (Gr. 12)
Mary Smith,901209950,Group A (Gr. 12),Group B,Group D
Mary Soren,525469343,Group A (Gr. 12),Group C,Group B
Mary Tarleton,806018463,Group E,Group B,Group E
Mary Tobin,567565035,Group A (Gr. 12),Group A (Gr. 12),Group E
Mary Tobin,786460609,Group E,Group D,Group E
Mary Velasquez,348632775,Group D,Group F,Group D
Mary Watson,376913017,Group F,Group A (Gr. 12),Group E
Mary Yamada,235776245,Group E,Group E,Group B
Maryjo Butler,175603581,Group F,Group C,Group A (Gr. 12)
Marylou Gabrielson,663546535,Group B,Group B,Group D
Mathew Chambers,527312412,Group A (Gr. 12),Group A (Gr. 12),Group D
Matt Banks,842472543,Group F,Group A (Gr. 12),Group E
Matthew Bloom,920080266,Group D,Group C,Group A (Gr. 12)
Matthew Chatterton,370709262,Group D,Group B,Group A (Gr. 12)
Matthew Cox,832195638,Group B,Group E,Group F
Matthew Kincaid,206308916,Group D,Group B,Group D
Matthew Madison,299919299,Group E,Group B,Group F
Matthew Reagin,705766507,Group B,Group A (Gr. 12),Group E
Matthew Silver,243923734,Group B,Group A (Gr. 12),Group E
Matthew Thompson,581866501,Group F,Group D,Group D
Matthew Walker,343072893,Group F,Group C,Group D
Matthew Ward,438345495,Group E,Group C,Group B
Maurice Dronet,507789105,Group B,Group E,Group A (Gr. 12)
Max Allen,111782811,Group E,Group B,Group C
Max Preuss,309362714,Group F,Group A (Gr. 12),Group D
Maxine Cambell,448789931,Group A (Gr. 12),Group E,Group C
Maxine Freeman,572056180,Group F,Group E,Group C
May Davis,622452963,Group D,Group C,Group B
Meagan Costa,577989446,Group F,Group B,Group F
Meagan Seeley,129016059,Group F,Group E,Group A (Gr. 12)
Megan Owens,296722282,Group D,Group A (Gr. 12),Group C
Meghan Christensen,324710321,Group D,Group D,Group A (Gr. 12)
Melanie Bradley,838870252,Group B,Group B,Group E
Melanie Knudsen,792257347,Group A (Gr. 12),Group E,Group B
Melanie Lindholm,166364059,Group B,Group E,Group D
Melba Hartman,321351052,Group B,Group A (Gr. 12),Group D
Melba Melle,644916199,Group C,Group E,Group D
Melba Webb,401497750,Group B,Group E,Group E
Melinda Roark,719828434,Group F,Group D,Group B
Melissa Lewis,741573752,Group E,Group B,Group F
Melissa Maxwell,125320469,Group E,Group A (Gr. 12),Group A (Gr. 12)
Melvin Ramirez,805246199,Group F,Group D,Group C
Meredith Birdsong,277557961,Group A (Gr. 12),Group E,Group F
Michael Adams,418630494,Group D,Group E,Group C
Michael Auclair,963623823,Group A (Gr. 12),Group F,Group F
Michael Bailey,675673523,Group B,Group E,Group D
Michael Baker,651057816,Group A (Gr. 12),Group F,Group F
Michael Bonson,458730793,Group D,Group C,Group F
Michael Durham,829153145,Group E,Group C,Group A (Gr. 12)
Michael Gendron,421288374,Group B,Group F,Group C
Michael Gomez,662842840,Group D,Group B,Group B
Michael Hill,116506497,Group D,Group E,Group F
Michael Jackson,842006321,Group A (Gr. 12),Group D,Group C
Michael Jenkins,209072804,Group C,Group C,Group A (Gr. 12)
Michael Keefer,945460286,Group E,Group D,Group D
Michael Kohler,723480012,Group D,Group D,Group A (Gr. 12)
Michael Krebs,286435440,Group D,Group B,Group A (Gr. 12)
Michael Laws,792992632,Group E,Group D,Group F
Michael Messenger,488662633,Group C,Group F,Group E
Michael Murphy,193743141,Group A (Gr. 12),Group B,Group C
Michael Newman,291189708,Group C,Group F,Group F
Michael Olinger,283251216,Group F,Group F,Group D
Michael Paugh,552641970,Group C,Group D,Group C
Michael Rodriguez,424513891,Group C,Group C,Group F
Michael Salter,843870456,Group A (Gr. 12),Group A (Gr. 12),Group F
Michael Senato,306778416,Group A (Gr. 12),Group E,Group B
Michael Simmons,426110972,Group E,Group B,Group C
Michael Thorne,581143657,Group C,Group B,Group A (Gr. 12)
Michale Cates,476115591,Group A (Gr. 12),Group F,Group B
Micheal Colon,620289712,Group F,Group A (Gr. 12),Group F
Micheal Henderson,901890627,Group B,Group F,Group D
Micheal Veit,363280468,Group E,Group A (Gr. 12),Group C
Micheal Wilson,834899128,Group C,Group B,Group A (Gr. 12)
Michele Denning,862413179,Group D,Group A (Gr. 12),Group F
Michele Flaherty,464660890,Group B,Group E,Group B
Michele Kneeland,460999376,Group D,Group C,Group A (Gr. 12)
Michele Page,225339206,Group C,Group A (Gr. 12),Group B
Michele Vincent,346916290,Group A (Gr. 12),Group B,Group C
Michele Wu,772377830,Group F,Group E,Group C
Michelle Barker,390301440,Group A (Gr. 12),Group C,Group A (Gr. 12)
Michelle Owens,731208336,Group C,Group E,Group E
Michelle Vivian,542089494,Group B,Group B,Group B
Miguel Treadwell,282645998,Group E,Group A (Gr. 12),Group B
Mike Rocha,567353093,Group D,Group E,Group A (Gr. 12)
Milo Reese,954875033,Group F,Group B,Group C
Milton Patterson,616456477,Group E,Group D,Group C
Milton Plant,382023181,Group D,Group D,Group F
Mina Bynum,929078501,Group F,Group B,Group B
Mindy Robinson,193024982,Group C,Group E,Group F
Minnie Donaldson,523575655,Group E,Group A (Gr. 12),Group A (Gr. 12)
Misty Jackson,559456530,Group B,Group B,Group B
Molly Duarte,358286019,Group E,Group C,Group F
Mona Biasi,891503541,Group E,Group E,Group C
Mona Wendell,245231708,Group D,Group E,Group F
Monica Anderson,527813314,Group A (Gr. 12),Group C,Group B
Monica Best,342212451,Group A (Gr. 12),Group E,Group D
Monica Pearson,583741513,Group B,Group A (Gr. 12),Group D
Morgan Stoltzfus,908506303,Group C,Group B,Group F
Myra Defenbaugh,312831717,Group A (Gr. 12),Group D,Group D
Myra Lemoyne,795074579,Group E,Group B,Group F
Myrna Cobb,462873176,Group D,Group C,Group D
Myrtle Johnson,816032388,Group E,Group E,Group C
Nadia Wark,971163283,Group B,Group E,Group D
Nadine Kelly,215936526,Group A (Gr. 12),Group F,Group D
Nadine Machado,821898043,Group A (Gr. 12),Group E,Group D
Nancee Gullo,186321776,Group E,Group D,Group A (Gr. 12)
Nancy Crowder,286023126,Group D,Group E,Group C
Nancy Davison,155774023,Group F,Group C,Group E
Nancy Harper,913840851,Group A (Gr. 12),Group B,Group F
Nancy Jones,798244919,Group C,Group A (Gr. 12),Group B
Nancy Risley,876743501,Group B,Group A (Gr. 12),Group E
Nancy Stanwick,204890640,Group C,Group E,Group B
Nancy Wyatt,157827766,Group C,Group C,Group E
Nannie Rowe,943334774,Group B,Group A (Gr. 12),Group D
Naomi Jobe,474518721,Group D,Group A (Gr. 12),Group D
Natalie Reed,888477229,Group D,Group A (Gr. 12),Group B
Nathan Morris,763525774,Group D,Group A (Gr. 12),Group F
Nathaniel Kahle,556170476,Group B,Group B,Group D
Nelly Smartt,474102803,Group A (Gr. 12),Group D,Group F
Nelson Tapia,670683032,Group F,Group F,Group B
Nettie Abbott,838620724,Group B,Group C,Group F
Neva Rooks,838775264,Group D,Group C,Group A (Gr. 12)
Nicholas Flaming,290606845,Group B,Group E,Group E
Nicholas Ortega,737622067,Group D,Group B,Group A (Gr. 12)
Nick Baker,284933461,Group A (Gr. 12),Group D,Group E
Nick Krieger,933092289,Group E,Group B,Group E
Nick Scott,821296825,Group B,Group D,Group A (Gr. 12)
Nicole Carter,939528696,Group B,Group C,Group F
Nicole Hand,785427779,Group B,Group E,Group A (Gr. 12)
Nicole Mullins,607400694,Group A (Gr. 12),Group F,Group B
Nicole Shelley,353719250,Group B,Group F,Group F
Nicole Soto,272720863,Group E,Group D,Group E
Nigel Anton,823721035,Group F,Group B,Group F
Nora Everett,109108920,Group A (Gr. 12),Group B,Group F
Norma Hathaway,739992315,Group E,Group C,Group F
Norma Olsen,586684762,Group C,Group F,Group E
Norma Roy,207215831,Group C,Group F,Group F
Norman Francisco,869916463,Group A (Gr. 12),Group A (Gr. 12),Group D
Norman Johnson,689747658,Group F,Group C,Group D
Olive Bradford,385246284,Group D,Group D,Group D
Olivia Haddix,773801148,Group C,Group B,Group C
Oma Kolter,353828039,Group F,Group C,Group D
Omar Ledger,678425640,Group E,Group B,Group D
Ophelia Echols,351840128,Group F,Group A (Gr. 12),Group D
Orlando Perez,587051131,Group D,Group C,Group E
Otto Barnett,113891023,Group C,Group E,Group C
Otto Nolden,990650372,Group F,Group D,Group C
Pamela Ford,799791587,Group D,Group B,Group F
Pamela Goins,853385713,Group C,Group E,Group A (Gr. 12)
Pamela King,499680208,Group B,Group C,Group A (Gr. 12)
Pamela Sistrunk,446834694,Group B,Group A (Gr. 12),Group E
Pamela Vergara,397951932,Group D,Group F,Group E
Pamelia Walden,379146836,Group F,Group F,Group E
Pansy Patterson,377350722,Group E,Group B,Group F
Pat Noles,537393591,Group B,Group E,Group A (Gr. 12)
Patrice Crawford,429305162,Group E,Group B,Group A (Gr. 12)
Patricia Camp,583497762,Group B,Group C,Group A (Gr. 12)
Patricia Coffey,763186601,Group D,Group C,Group A (Gr. 12)
